¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
⟪	&Lang;	&#x027EA;	&#10218;	MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
⟫	&Rang;	&#x027EB;	&#10219;	MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
⟬	&loang;	&#x027EC;	&#10220;	MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
⟭	&roang;	&#x027ED;	&#10221;	MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
⟵	&xlarr; &longleftarrow; &LongLeftArrow;	&#x027F5;	&#10229;	LONG LEFTWARDS ARROW
⟶	&xrarr; &longrightarrow; &LongRightArrow;	&#x027F6;	&#10230;	LONG RIGHTWARDS ARROW
⟷	&xharr; &longleftrightarrow; &LongLeftRightArrow;	&#x027F7;	&#10231;	LONG LEFT RIGHT ARROW
⟸	&xlArr; &Longleftarrow; &DoubleLongLeftArrow;	&#x027F8;	&#10232;	LONG LEFTWARDS DOUBLE ARROW
⟹	&xrArr; &Longrightarrow; &DoubleLongRightArrow;	&#x027F9;	&#10233;	LONG RIGHTWARDS DOUBLE ARROW
⟺	&xhArr; &Longleftrightarrow; &DoubleLongLeftRightArrow;	&#x027FA;	&#10234;	LONG LEFT RIGHT DOUBLE ARROW
⟼	&xmap; &longmapsto;	&#x027FC;	&#10236;	LONG RIGHTWARDS ARROW FROM BAR
⟿	&dzigrarr;	&#x027FF;	&#10239;	LONG RIGHTWARDS SQUIGGLE ARROW
⤂	&nvlArr;	&#x02902;	&#10498;	LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE
⤃	&nvrArr;	&#x02903;	&#10499;	RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE
⤄	&nvHarr;	&#x02904;	&#10500;	LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE
⤅	&Map;	&#x02905;	&#10501;	RIGHTWARDS TWO-HEADED ARROW FROM BAR
⤌	&lbarr;	&#x0290C;	&#10508;	LEFTWARDS DOUBLE DASH ARROW
⤍	&rbarr; &bkarow;	&#x0290D;	&#10509;	RIGHTWARDS DOUBLE DASH ARROW
⤎	&lBarr;	&#x0290E;	&#10510;	LEFTWARDS TRIPLE DASH ARROW
⤏	&rBarr; &dbkarow;	&#x0290F;	&#10511;	RIGHTWARDS TRIPLE DASH ARROW
⤐	&RBarr; &drbkarow;	&#x02910;	&#10512;	RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW
⤑	&DDotrahd;	&#x02911;	&#10513;	RIGHTWARDS ARROW WITH DOTTED STEM
⤒	&UpArrowBar;	&#x02912;	&#10514;	UPWARDS ARROW TO BAR
⤓	&DownArrowBar;	&#x02913;	&#10515;	DOWNWARDS ARROW TO BAR
⤖	&Rarrtl;	&#x02916;	&#10518;	RIGHTWARDS TWO-HEADED ARROW WITH TAIL
⤙	&latail;	&#x02919;	&#10521;	LEFTWARDS ARROW-TAIL
⤚	&ratail;	&#x0291A;	&#10522;	RIGHTWARDS ARROW-TAIL
⤛	&lAtail;	&#x0291B;	&#10523;	LEFTWARDS DOUBLE ARROW-TAIL
⤜	&rAtail;	&#x0291C;	&#10524;	RIGHTWARDS DOUBLE ARROW-TAIL
⤝	&larrfs;	&#x0291D;	&#10525;	LEFTWARDS ARROW TO BLACK DIAMOND
⤞	&rarrfs;	&#x0291E;	&#10526;	RIGHTWARDS ARROW TO BLACK DIAMOND
⤟	&larrbfs;	&#x0291F;	&#10527;	LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND
⤠	&rarrbfs;	&#x02920;	&#10528;	RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND
⤣	&nwarhk;	&#x02923;	&#10531;	NORTH WEST ARROW WITH HOOK
⤤	&nearhk;	&#x02924;	&#10532;	NORTH EAST ARROW WITH HOOK
⤥	&searhk; &hksearow;	&#x02925;	&#10533;	SOUTH EAST ARROW WITH HOOK
⤦	&swarhk; &hkswarow;	&#x02926;	&#10534;	SOUTH WEST ARROW WITH HOOK
⤧	&nwnear;	&#x02927;	&#10535;	NORTH WEST ARROW AND NORTH EAST ARROW
⤨	&nesear; &toea;	&#x02928;	&#10536;	NORTH EAST ARROW AND SOUTH EAST ARROW
⤩	&seswar; &tosa;	&#x02929;	&#10537;	SOUTH EAST ARROW AND SOUTH WEST ARROW
⤪	&swnwar;	&#x0292A;	&#10538;	SOUTH WEST ARROW AND NORTH WEST ARROW
⤳	&rarrc;	&#x02933;	&#10547;	WAVE ARROW POINTING DIRECTLY RIGHT
⤵	&cudarrr;	&#x02935;	&#10549;	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
⤶	&ldca;	&#x02936;	&#10550;	ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS
⤷	&rdca;	&#x02937;	&#10551;	ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS
⤸	&cudarrl;	&#x02938;	&#10552;	RIGHT-SIDE ARC CLOCKWISE ARROW
⤹	&larrpl;	&#x02939;	&#10553;	LEFT-SIDE ARC ANTICLOCKWISE ARROW
⤼	&curarrm;	&#x0293C;	&#10556;	TOP ARC CLOCKWISE ARROW WITH MINUS
⤽	&cularrp;	&#x0293D;	&#10557;	TOP ARC ANTICLOCKWISE ARROW WITH PLUS
⥅	&rarrpl;	&#x02945;	&#10565;	RIGHTWARDS ARROW WITH PLUS BELOW
⥈	&harrcir;	&#x02948;	&#10568;	LEFT RIGHT ARROW THROUGH SMALL CIRCLE
⥉	&Uarrocir;	&#x02949;	&#10569;	UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE
⥊	&lurdshar;	&#x0294A;	&#10570;	LEFT BARB UP RIGHT BARB DOWN HARPOON
⥋	&ldrushar;	&#x0294B;	&#10571;	LEFT BARB DOWN RIGHT BARB UP HARPOON
⥎	&LeftRightVector;	&#x0294E;	&#10574;	LEFT BARB UP RIGHT BARB UP HARPOON
⥏	&RightUpDownVector;	&#x0294F;	&#10575;	UP BARB RIGHT DOWN BARB RIGHT HARPOON
⥐	&DownLeftRightVector;	&#x02950;	&#10576;	LEFT BARB DOWN RIGHT BARB DOWN HARPOON
⥑	&LeftUpDownVector;	&#x02951;	&#10577;	UP BARB LEFT DOWN BARB LEFT HARPOON
⥒	&LeftVectorBar;	&#x02952;	&#10578;	LEFTWARDS HARPOON WITH BARB UP TO BAR
⥓	&RightVectorBar;	&#x02953;	&#10579;	RIGHTWARDS HARPOON WITH BARB UP TO BAR
⥔	&RightUpVectorBar;	&#x02954;	&#10580;	UPWARDS HARPOON WITH BARB RIGHT TO BAR
⥕	&RightDownVectorBar;	&#x02955;	&#10581;	DOWNWARDS HARPOON WITH BARB RIGHT TO BAR
⥖	&DownLeftVectorBar;	&#x02956;	&#10582;	LEFTWARDS HARPOON WITH BARB DOWN TO BAR
⥗	&DownRightVectorBar;	&#x02957;	&#10583;	RIGHTWARDS HARPOON WITH BARB DOWN TO BAR
⥘	&LeftUpVectorBar;	&#x02958;	&#10584;	UPWARDS HARPOON WITH BARB LEFT TO BAR
⥙	&LeftDownVectorBar;	&#x02959;	&#10585;	DOWNWARDS HARPOON WITH BARB LEFT TO BAR
⥚	&LeftTeeVector;	&#x0295A;	&#10586;	LEFTWARDS HARPOON WITH BARB UP FROM BAR
⥛	&RightTeeVector;	&#x0295B;	&#10587;	RIGHTWARDS HARPOON WITH BARB UP FROM BAR
⥜	&RightUpTeeVector;	&#x0295C;	&#10588;	UPWARDS HARPOON WITH BARB RIGHT FROM BAR
⥝	&RightDownTeeVector;	&#x0295D;	&#10589;	DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR
⥞	&DownLeftTeeVector;	&#x0295E;	&#10590;	LEFTWARDS HARPOON WITH BARB DOWN FROM BAR
⥟	&DownRightTeeVector;	&#x0295F;	&#10591;	RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR
⥠	&LeftUpTeeVector;	&#x02960;	&#10592;	UPWARDS HARPOON WITH BARB LEFT FROM BAR
⥡	&LeftDownTeeVector;	&#x02961;	&#10593;	DOWNWARDS HARPOON WITH BARB LEFT FROM BAR
⥢	&lHar;	&#x02962;	&#10594;	LEFTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB DOWN
⥣	&uHar;	&#x02963;	&#10595;	UPWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
⥤	&rHar;	&#x02964;	&#10596;	RIGHTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
⥥	&dHar;	&#x02965;	&#10597;	DOWNWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
⥦	&luruhar;	&#x02966;	&#10598;	LEFTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB UP
⥧	&ldrdhar;	&#x02967;	&#10599;	LEFTWARDS HARPOON WITH BARB DOWN ABOVE RIGHTWARDS HARPOON WITH BARB DOWN
⥨	&ruluhar;	&#x02968;	&#10600;	RIGHTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB UP
⥩	&rdldhar;	&#x02969;	&#10601;	RIGHTWARDS HARPOON WITH BARB DOWN ABOVE LEFTWARDS HARPOON WITH BARB DOWN
⥪	&lharul;	&#x0296A;	&#10602;	LEFTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
⥫	&llhard;	&#x0296B;	&#10603;	LEFTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
⥬	&rharul;	&#x0296C;	&#10604;	RIGHTWARDS HARPOON WITH BARB UP ABOVE LONG DASH
⥭	&lrhard;	&#x0296D;	&#10605;	RIGHTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH
⥮	&udhar; &UpEquilibrium;	&#x0296E;	&#10606;	UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT
⥯	&duhar; &ReverseUpEquilibrium;	&#x0296F;	&#10607;	DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT
⥰	&RoundImplies;	&#x02970;	&#10608;	RIGHT DOUBLE ARROW WITH ROUNDED HEAD
⥱	&erarr;	&#x02971;	&#10609;	EQUALS SIGN ABOVE RIGHTWARDS ARROW
⥲	&simrarr;	&#x02972;	&#10610;	TILDE OPERATOR ABOVE RIGHTWARDS ARROW
⥳	&larrsim;	&#x02973;	&#10611;	LEFTWARDS ARROW ABOVE TILDE OPERATOR
⥴	&rarrsim;	&#x02974;	&#10612;	RIGHTWARDS ARROW ABOVE TILDE OPERATOR
⥵	&rarrap;	&#x02975;	&#10613;	RIGHTWARDS ARROW ABOVE ALMOST EQUAL TO
⥶	&ltlarr;	&#x02976;	&#10614;	LESS-THAN ABOVE LEFTWARDS ARROW
⥸	&gtrarr;	&#x02978;	&#10616;	GREATER-THAN ABOVE RIGHTWARDS ARROW
⥹	&subrarr;	&#x02979;	&#10617;	SUBSET ABOVE RIGHTWARDS ARROW
⥻	&suplarr;	&#x0297B;	&#10619;	SUPERSET ABOVE LEFTWARDS ARROW
⥼	&lfisht;	&#x0297C;	&#10620;	LEFT FISH TAIL
⥽	&rfisht;	&#x0297D;	&#10621;	RIGHT FISH TAIL
⥾	&ufisht;	&#x0297E;	&#10622;	UP FISH TAIL
⥿	&dfisht;	&#x0297F;	&#10623;	DOWN FISH TAIL
⦅	&lopar;	&#x02985;	&#10629;	LEFT WHITE PARENTHESIS
⦆	&ropar;	&#x02986;	&#10630;	RIGHT WHITE PARENTHESIS
⦋	&lbrke;	&#x0298B;	&#10635;	LEFT SQUARE BRACKET WITH UNDERBAR
⦌	&rbrke;	&#x0298C;	&#10636;	RIGHT SQUARE BRACKET WITH UNDERBAR
⦍	&lbrkslu;	&#x0298D;	&#10637;	LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
⦎	&rbrksld;	&#x0298E;	&#10638;	RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
⦏	&lbrksld;	&#x0298F;	&#10639;	LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
⦐	&rbrkslu;	&#x02990;	&#10640;	RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
⦑	&langd;	&#x02991;	&#10641;	LEFT ANGLE BRACKET WITH DOT
⦒	&rangd;	&#x02992;	&#10642;	RIGHT ANGLE BRACKET WITH DOT
⦓	&lparlt;	&#x02993;	&#10643;	LEFT ARC LESS-THAN BRACKET
⦔	&rpargt;	&#x02994;	&#10644;	RIGHT ARC GREATER-THAN BRACKET
⦕	&gtlPar;	&#x02995;	&#10645;	DOUBLE LEFT ARC GREATER-THAN BRACKET
⦖	&ltrPar;	&#x02996;	&#10646;	DOUBLE RIGHT ARC LESS-THAN BRACKET
⦚	&vzigzag;	&#x0299A;	&#10650;	VERTICAL ZIGZAG LINE
⦜	&vangrt;	&#x0299C;	&#10652;	RIGHT ANGLE VARIANT WITH SQUARE
⦝	&angrtvbd;	&#x0299D;	&#10653;	MEASURED RIGHT ANGLE WITH DOT
⦤	&ange;	&#x029A4;	&#10660;	ANGLE WITH UNDERBAR
⦥	&range;	&#x029A5;	&#10661;	REVERSED ANGLE WITH UNDERBAR
⦦	&dwangle;	&#x029A6;	&#10662;	OBLIQUE ANGLE OPENING UP
⦧	&uwangle;	&#x029A7;	&#10663;	OBLIQUE ANGLE OPENING DOWN
⦨	&angmsdaa;	&#x029A8;	&#10664;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT
⦩	&angmsdab;	&#x029A9;	&#10665;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT
⦪	&angmsdac;	&#x029AA;	&#10666;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT
⦫	&angmsdad;	&#x029AB;	&#10667;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT
⦬	&angmsdae;	&#x029AC;	&#10668;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP
⦭	&angmsdaf;	&#x029AD;	&#10669;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP
⦮	&angmsdag;	&#x029AE;	&#10670;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN
⦯	&angmsdah;	&#x029AF;	&#10671;	MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN
⦰	&bemptyv;	&#x029B0;	&#10672;	REVERSED EMPTY SET
⦱	&demptyv;	&#x029B1;	&#10673;	EMPTY SET WITH OVERBAR
⦲	&cemptyv;	&#x029B2;	&#10674;	EMPTY SET WITH SMALL CIRCLE ABOVE
⦳	&raemptyv;	&#x029B3;	&#10675;	EMPTY SET WITH RIGHT ARROW ABOVE
⦴	&laemptyv;	&#x029B4;	&#10676;	EMPTY SET WITH LEFT ARROW ABOVE
⦵	&ohbar;	&#x029B5;	&#10677;	CIRCLE WITH HORIZONTAL BAR
⦶	&omid;	&#x029B6;	&#10678;	CIRCLED VERTICAL BAR
⦷	&opar;	&#x029B7;	&#10679;	CIRCLED PARALLEL
⦹	&operp;	&#x029B9;	&#10681;	CIRCLED PERPENDICULAR
⦻	&olcross;	&#x029BB;	&#10683;	CIRCLE WITH SUPERIMPOSED X
⦼	&odsold;	&#x029BC;	&#10684;	CIRCLED ANTICLOCKWISE-ROTATED DIVISION SIGN
⦾	&olcir;	&#x029BE;	&#10686;	CIRCLED WHITE BULLET
⦿	&ofcir;	&#x029BF;	&#10687;	CIRCLED BULLET
⧀	&olt;	&#x029C0;	&#10688;	CIRCLED LESS-THAN
⧁	&ogt;	&#x029C1;	&#10689;	CIRCLED GREATER-THAN
⧂	&cirscir;	&#x029C2;	&#10690;	CIRCLE WITH SMALL CIRCLE TO THE RIGHT
⧃	&cirE;	&#x029C3;	&#10691;	CIRCLE WITH TWO HORIZONTAL STROKES TO THE RIGHT
⧄	&solb;	&#x029C4;	&#10692;	SQUARED RISING DIAGONAL SLASH
⧅	&bsolb;	&#x029C5;	&#10693;	SQUARED FALLING DIAGONAL SLASH
⧉	&boxbox;	&#x029C9;	&#10697;	TWO JOINED SQUARES
⧍	&trisb;	&#x029CD;	&#10701;	TRIANGLE WITH SERIFS AT BOTTOM
⧎	&rtriltri;	&#x029CE;	&#10702;	RIGHT TRIANGLE ABOVE LEFT TRIANGLE
⧏	&LeftTriangleBar;	&#x029CF;	&#10703;	LEFT TRIANGLE BESIDE VERTICAL BAR
⧐	&RightTriangleBar;	&#x029D0;	&#10704;	VERTICAL BAR BESIDE RIGHT TRIANGLE
⧚	&race;	&#x029DA;	&#10714;	LEFT DOUBLE WIGGLY FENCE
⧜	&iinfin;	&#x029DC;	&#10716;	INCOMPLETE INFINITY
⧝	&infintie;	&#x029DD;	&#10717;	TIE OVER INFINITY
⧞	&nvinfin;	&#x029DE;	&#10718;	INFINITY NEGATED WITH VERTICAL BAR
⧣	&eparsl;	&#x029E3;	&#10723;	EQUALS SIGN AND SLANTED PARALLEL
⧤	&smeparsl;	&#x029E4;	&#10724;	EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE
⧥	&eqvparsl;	&#x029E5;	&#10725;	IDENTICAL TO AND SLANTED PARALLEL
⧫	&lozf; &blacklozenge;	&#x029EB;	&#10731;	BLACK LOZENGE
⧴	&RuleDelayed;	&#x029F4;	&#10740;	RULE-DELAYED
⧶	&dsol;	&#x029F6;	&#10742;	SOLIDUS WITH OVERBAR
⨀	&xodot; &bigodot;	&#x02A00;	&#10752;	N-ARY CIRCLED DOT OPERATOR
⨁	&xoplus; &bigoplus;	&#x02A01;	&#10753;	N-ARY CIRCLED PLUS OPERATOR
⨂	&xotime; &bigotimes;	&#x02A02;	&#10754;	N-ARY CIRCLED TIMES OPERATOR
⨄	&xuplus; &biguplus;	&#x02A04;	&#10756;	N-ARY UNION OPERATOR WITH PLUS
⨆	&xsqcup; &bigsqcup;	&#x02A06;	&#10758;	N-ARY SQUARE UNION OPERATOR
⨌	&qint; &iiiint;	&#x02A0C;	&#10764;	QUADRUPLE INTEGRAL OPERATOR
⨍	&fpartint;	&#x02A0D;	&#10765;	FINITE PART INTEGRAL
⨐	&cirfnint;	&#x02A10;	&#10768;	CIRCULATION FUNCTION
⨑	&awint;	&#x02A11;	&#10769;	ANTICLOCKWISE INTEGRATION
⨒	&rppolint;	&#x02A12;	&#10770;	LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE
⨓	&scpolint;	&#x02A13;	&#10771;	LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE
⨔	&npolint;	&#x02A14;	&#10772;	LINE INTEGRATION NOT INCLUDING THE POLE
⨕	&pointint;	&#x02A15;	&#10773;	INTEGRAL AROUND A POINT OPERATOR
⨖	&quatint;	&#x02A16;	&#10774;	QUATERNION INTEGRAL OPERATOR
⨗	&intlarhk;	&#x02A17;	&#10775;	INTEGRAL WITH LEFTWARDS ARROW WITH HOOK
⨢	&pluscir;	&#x02A22;	&#10786;	PLUS SIGN WITH SMALL CIRCLE ABOVE
⨣	&plusacir;	&#x02A23;	&#10787;	PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE
⨤	&simplus;	&#x02A24;	&#10788;	PLUS SIGN WITH TILDE ABOVE
⨥	&plusdu;	&#x02A25;	&#10789;	PLUS SIGN WITH DOT BELOW
⨦	&plussim;	&#x02A26;	&#10790;	PLUS SIGN WITH TILDE BELOW
⨧	&plustwo;	&#x02A27;	&#10791;	PLUS SIGN WITH SUBSCRIPT TWO
⨩	&mcomma;	&#x02A29;	&#10793;	MINUS SIGN WITH COMMA ABOVE
⨪	&minusdu;	&#x02A2A;	&#10794;	MINUS SIGN WITH DOT BELOW
⨭	&loplus;	&#x02A2D;	&#10797;	PLUS SIGN IN LEFT HALF CIRCLE
⨮	&roplus;	&#x02A2E;	&#10798;	PLUS SIGN IN RIGHT HALF CIRCLE
⨯	&Cross;	&#x02A2F;	&#10799;	VECTOR OR CROSS PRODUCT
⨰	&timesd;	&#x02A30;	&#10800;	MULTIPLICATION SIGN WITH DOT ABOVE
⨱	&timesbar;	&#x02A31;	&#10801;	MULTIPLICATION SIGN WITH UNDERBAR
⨳	&smashp;	&#x02A33;	&#10803;	SMASH PRODUCT
⨴	&lotimes;	&#x02A34;	&#10804;	MULTIPLICATION SIGN IN LEFT HALF CIRCLE
⨵	&rotimes;	&#x02A35;	&#10805;	MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
⨶	&otimesas;	&#x02A36;	&#10806;	CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT
⨷	&Otimes;	&#x02A37;	&#10807;	MULTIPLICATION SIGN IN DOUBLE CIRCLE
⨸	&odiv;	&#x02A38;	&#10808;	CIRCLED DIVISION SIGN
⨹	&triplus;	&#x02A39;	&#10809;	PLUS SIGN IN TRIANGLE
⨺	&triminus;	&#x02A3A;	&#10810;	MINUS SIGN IN TRIANGLE
⨻	&tritime;	&#x02A3B;	&#10811;	MULTIPLICATION SIGN IN TRIANGLE
⨼	&iprod; &intprod;	&#x02A3C;	&#10812;	INTERIOR PRODUCT
⨿	&amalg;	&#x02A3F;	&#10815;	AMALGAMATION OR COPRODUCT
⩀	&capdot;	&#x02A40;	&#10816;	INTERSECTION WITH DOT
⩂	&ncup;	&#x02A42;	&#10818;	UNION WITH OVERBAR
⩃	&ncap;	&#x02A43;	&#10819;	INTERSECTION WITH OVERBAR
⩄	&capand;	&#x02A44;	&#10820;	INTERSECTION WITH LOGICAL AND
⩅	&cupor;	&#x02A45;	&#10821;	UNION WITH LOGICAL OR
⩆	&cupcap;	&#x02A46;	&#10822;	UNION ABOVE INTERSECTION
⩇	&capcup;	&#x02A47;	&#10823;	INTERSECTION ABOVE UNION
⩈	&cupbrcap;	&#x02A48;	&#10824;	UNION ABOVE BAR ABOVE INTERSECTION
⩉	&capbrcup;	&#x02A49;	&#10825;	INTERSECTION ABOVE BAR ABOVE UNION
⩊	&cupcup;	&#x02A4A;	&#10826;	UNION BESIDE AND JOINED WITH UNION
⩋	&capcap;	&#x02A4B;	&#10827;	INTERSECTION BESIDE AND JOINED WITH INTERSECTION
⩌	&ccups;	&#x02A4C;	&#10828;	CLOSED UNION WITH SERIFS
⩍	&ccaps;	&#x02A4D;	&#10829;	CLOSED INTERSECTION WITH SERIFS
⩐	&ccupssm;	&#x02A50;	&#10832;	CLOSED UNION WITH SERIFS AND SMASH PRODUCT
⩓	&And;	&#x02A53;	&#10835;	DOUBLE LOGICAL AND
⩔	&Or;	&#x02A54;	&#10836;	DOUBLE LOGICAL OR
⩕	&andand;	&#x02A55;	&#10837;	TWO INTERSECTING LOGICAL AND
⩖	&oror;	&#x02A56;	&#10838;	TWO INTERSECTING LOGICAL OR
⩗	&orslope;	&#x02A57;	&#10839;	SLOPING LARGE OR
⩘	&andslope;	&#x02A58;	&#10840;	SLOPING LARGE AND
⩚	&andv;	&#x02A5A;	&#10842;	LOGICAL AND WITH MIDDLE STEM
⩛	&orv;	&#x02A5B;	&#10843;	LOGICAL OR WITH MIDDLE STEM
⩜	&andd;	&#x02A5C;	&#10844;	LOGICAL AND WITH HORIZONTAL DASH
⩝	&ord;	&#x02A5D;	&#10845;	LOGICAL OR WITH HORIZONTAL DASH
⩟	&wedbar;	&#x02A5F;	&#10847;	LOGICAL AND WITH UNDERBAR
⩦	&sdote;	&#x02A66;	&#10854;	EQUALS SIGN WITH DOT BELOW
⩪	&simdot;	&#x02A6A;	&#10858;	TILDE OPERATOR WITH DOT ABOVE
⩭	&congdot;	&#x02A6D;	&#10861;	CONGRUENT WITH DOT ABOVE
⩮	&easter;	&#x02A6E;	&#10862;	EQUALS WITH ASTERISK
⩯	&apacir;	&#x02A6F;	&#10863;	ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
⩰	&apE;	&#x02A70;	&#10864;	APPROXIMATELY EQUAL OR EQUAL TO
⩱	&eplus;	&#x02A71;	&#10865;	EQUALS SIGN ABOVE PLUS SIGN
⩲	&pluse;	&#x02A72;	&#10866;	PLUS SIGN ABOVE EQUALS SIGN
⩳	&Esim;	&#x02A73;	&#10867;	EQUALS SIGN ABOVE TILDE OPERATOR
⩴	&Colone;	&#x02A74;	&#10868;	DOUBLE COLON EQUAL
⩵	&Equal;	&#x02A75;	&#10869;	TWO CONSECUTIVE EQUALS SIGNS
⩷	&eDDot; &ddotseq;	&#x02A77;	&#10871;	EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
⩸	&equivDD;	&#x02A78;	&#10872;	EQUIVALENT WITH FOUR DOTS ABOVE
⩹	&ltcir;	&#x02A79;	&#10873;	LESS-THAN WITH CIRCLE INSIDE
⩺	&gtcir;	&#x02A7A;	&#10874;	GREATER-THAN WITH CIRCLE INSIDE
⩻	&ltquest;	&#x02A7B;	&#10875;	LESS-THAN WITH QUESTION MARK ABOVE
⩼	&gtquest;	&#x02A7C;	&#10876;	GREATER-THAN WITH QUESTION MARK ABOVE
⩽	&les; &LessSlantEqual; &leqslant;	&#x02A7D;	&#10877;	LESS-THAN OR SLANTED EQUAL TO
⩾	&ges; &GreaterSlantEqual; &geqslant;	&#x02A7E;	&#10878;	GREATER-THAN OR SLANTED EQUAL TO
⩿	&lesdot;	&#x02A7F;	&#10879;	LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
⪀	&gesdot;	&#x02A80;	&#10880;	GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
⪁	&lesdoto;	&#x02A81;	&#10881;	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
⪂	&gesdoto;	&#x02A82;	&#10882;	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
⪃	&lesdotor;	&#x02A83;	&#10883;	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
⪄	&gesdotol;	&#x02A84;	&#10884;	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
⪅	&lap; &lessapprox;	&#x02A85;	&#10885;	LESS-THAN OR APPROXIMATE
⪆	&gap; &gtrapprox;	&#x02A86;	&#10886;	GREATER-THAN OR APPROXIMATE
⪇	&lne; &lneq;	&#x02A87;	&#10887;	LESS-THAN AND SINGLE-LINE NOT EQUAL TO
⪈	&gne; &gneq;	&#x02A88;	&#10888;	GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
⪉	&lnap; &lnapprox;	&#x02A89;	&#10889;	LESS-THAN AND NOT APPROXIMATE
⪊	&gnap; &gnapprox;	&#x02A8A;	&#10890;	GREATER-THAN AND NOT APPROXIMATE
⪋	&lEg; &lesseqqgtr;	&#x02A8B;	&#10891;	LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
⪌	&gEl; &gtreqqless;	&#x02A8C;	&#10892;	GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
⪍	&lsime;	&#x02A8D;	&#10893;	LESS-THAN ABOVE SIMILAR OR EQUAL
⪎	&gsime;	&#x02A8E;	&#10894;	GREATER-THAN ABOVE SIMILAR OR EQUAL
⪏	&lsimg;	&#x02A8F;	&#10895;	LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
⪐	&gsiml;	&#x02A90;	&#10896;	GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
⪑	&lgE;	&#x02A91;	&#10897;	LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
⪒	&glE;	&#x02A92;	&#10898;	GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
